"Bevolking en bevolkingsontwikkeling; per maand, kwartaal en jaar"
"Onderwerpen_1";"Onderwerpen_2";"Onderwerpen_3";"Onderwerpen_4";"Perioden";"2016 januari";"2016 februari";"2016 maart";"2016 april";"2016 mei";"2016 juni";"2016 juli";"2016 augustus";"2016 september";"2016 oktober";"2016 november";"2016 december";"2017 januari*";"2017 februari*";"2017 maart*";"2017 april*";"2017 mei*";"2017 juni*";"2017 juli*";"2017 augustus*";"2017 september*"
"Bevolkingsontwikkeling";"Levendgeborenen";"Levendgeborenen";"Levendgeborenen";"aantal";"13990";"13342";"14107";"13823";"14513";"14539";"15683";"15603";"15163";"14539";"13529";"13689";"14054";"12536";"13647";"13360";"14323";"13941";"14988";"15401";"14766"
"Bevolkingsontwikkeling";"Overledenen";"Overledenen";"Overledenen";"aantal";"13769";"12927";"13697";"12228";"12223";"11237";"11707";"11407";"11270";"12398";"12333";"13801";"15810";"13623";"13049";"11780";"12307";"11397";"11484";"11388";"11395"
"Bevolkingsontwikkeling";"Immigratie";"Immigratie";"Immigratie";"aantal";"17415";"19595";"16507";"14517";"15047";"16662";"17362";"31452";"30085";"19489";"17757";"14851";"17580";"19204";"17586";"13743";"15573";"16185";"18157";"30396";"32991"
"Bevolkingsontwikkeling";"Emigratie inclusief administratieve c...";"Emigratie inclusief administratieve c...";"Emigratie inclusief administratieve c...";"aantal";"13076";"11680";"11010";"10498";"9577";"13205";"16714";"15780";"14031";"12075";"11210";"12689";"13067";"10877";"10671";"9506";"10872";"13999";"16924";"15571";"13494"
"Bevolkingsontwikkeling";"Emigratie exclusief administratieve c...";"Emigratie exclusief administratieve c...";"Emigratie exclusief administratieve c...";"aantal";"11043";"9503";"8964";"8603";"8224";"11616";"14750";"13685";"11826";"9682";"8687";"10737";"11368";"8892";"9207";"7622";"8106";"11473";"15318";"13196";"11313"
"Bevolkingsontwikkeling";"Saldo correcties";"Saldo correcties";"Saldo correcties";"aantal";"-2033";"-2177";"-2046";"-1895";"-1353";"-1589";"-1964";"-2095";"-2205";"-2393";"-2523";"-2282";"-1699";"-1985";"-1464";"-1884";"-2766";"-2526";"-1606";"-2375";"-2181"
"Bevolkingsontwikkeling";"Totale bevolkingsgroei";"Totale bevolkingsgroei";"Totale bevolkingsgroei";"aantal";"4560";"8330";"5907";"5614";"7760";"6759";"4624";"19868";"19947";"9555";"7743";"1720";"2757";"7240";"7513";"5817";"6717";"4730";"4737";"18838";"22868"
"Bevolkingsontwikkeling";"Bevolking aan eind van gekozen periode";"Bevolking aan eind van gekozen periode";"Bevolking aan eind van gekozen periode";"aantal";"16983680";"16992010";"16997917";"17003531";"17011291";"17018050";"17022674";"17042542";"17062489";"17072044";"17079787";"17081507";"17084264";"17091504";"17099017";"17104834";"17111551";"17116281";"17121018";"17139856";"17162724"
"Bevolkingsontwikkeling";"Tussen gemeenten verhuisde personen";"Tussen gemeenten verhuisde personen";"Tussen gemeenten verhuisde personen";"aantal";"59002";"60805";"58899";"56971";"54968";"58532";"71360";"80102";"73608";"64283";"62658";"66300";"68036";"64220";"67569";"55980";"60742";"60538";"73750";"80721";"73987"
"Bevolkingsontwikkeling";"Binnen gemeenten verhuisde personen";"Binnen gemeenten verhuisde personen";"Binnen gemeenten verhuisde personen";"aantal";"78907";"81097";"84012";"80162";"78062";"82928";"89527";"91330";"89001";"85466";"86908";"96562";"91575";"86947";"97115";"82495";"90564";"90619";"95235";"92775";"91290"
"Huwen / partnerschap: sluiting";"Huwen / partnerschap: personen";"Mannen";"Totaal mannen";"aantal";"3279";"3920";"4070";"6101";"8131";"10928";"8574";"8368";"10311";"6113";"4384";"4427";"4040";"3904";"4588";"5278";"8355";"9282";"10054";"7876";"10839"
"Huwen / partnerschap: sluiting";"Huwen / partnerschap: personen";"Vrouwen";"Totaal vrouwen";"aantal";"3108";"3799";"3958";"5986";"7967";"10876";"8506";"8219";"10213";"5889";"4247";"4242";"3869";"3769";"4396";"5171";"8236";"9161";"9975";"7734";"10722"
"Huwen / partnerschap: ontbinding";"Scheidende personen";"Mannen";"Mannen";"aantal";"2926";"2775";"2937";"2798";"2734";"2923";"2810";"2791";"2693";"2354";"2745";"2818";"2925";"2668";"2996";"2284";"2740";"2829";"2858";"2911";"2364"
"Huwen / partnerschap: ontbinding";"Scheidende personen";"Vrouwen";"Vrouwen";"aantal";"3016";"2876";"3011";"2895";"2825";"2991";"2919";"2891";"2785";"2452";"2847";"2918";"3015";"2757";"3120";"2360";"2829";"2920";"2930";"3007";"2457"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 6-11-2017"
